FL16Y,glon,glat,association,logS
FL16Y J0000.0+314,110.333,-29.848,blazar,-11.682
FL16Y J0000.4-735,307.706,-42.739,unID,-11.761
FL16Y J0000.5+074,101.711,-52.969,unID,-11.670
FL16Y J0000.9+253,108.821,-35.966,unID,-12.101
FL16Y J0001.2-074,89.033,-67.304,blazar,-11.146
FL16Y J0001.2+474,114.255,-14.326,blazar,-11.659
FL16Y J0001.5-415,334.322,-72.018,blazar,-11.484
FL16Y J0001.5-001,96.904,-60.495,blazar,-11.892
FL16Y J0001.6+211,107.674,-40.164,blazar,-10.673
FL16Y J0001.6+350,111.543,-26.746,unID,-11.836
FL16Y J0002.2+671,118.206,4.903,other,-11.356
FL16Y J0002.3-672,310.063,-48.972,blazar,-11.627
FL16Y J0002.4-081,89.105,-67.849,blazar,-11.838
FL16Y J0002.4-515,319.993,-63.539,blazar,-12.087
FL16Y J0002.8+721,119.209,9.784,blazar,-11.589
FL16Y J0002.9+621,117.331,-0.060,psr,-10.730
FL16Y J0003.2-524,318.960,-62.796,blazar,-11.506
FL16Y J0003.2+250,109.339,-36.494,unID,-11.608
FL16Y J0003.2-070,91.069,-66.911,blazar,-11.975
FL16Y J0003.3-192,65.104,-76.577,blazar,-11.535
FL16Y J0003.3-154,75.999,-74.064,other,-12.020
FL16Y J0003.4-590,314.216,-56.959,blazar,-11.785
FL16Y J0003.4+071,102.588,-53.659,blazar,-12.012
FL16Y J0003.6+305,111.019,-30.784,unID,-11.685
FL16Y J0003.8+220,108.598,-39.453,blazar,-11.983
FL16Y J0003.9+571,116.513,-5.076,unID,-11.387
FL16Y J0004.0+084,103.501,-52.375,blazar,-11.888
FL16Y J0004.0-114,84.624,-71.073,blazar,-11.558
FL16Y J0004.2+461,114.484,-15.847,blazar,-11.297
FL16Y J0004.4+683,118.657,6.178,unID,-11.611
FL16Y J0004.4-473,323.979,-67.543,blazar,-11.232
FL16Y J0004.5-400,336.929,-73.838,unID,-11.594
FL16Y J0005.5+663,118.394,4.142,unID,-11.326
FL16Y J0005.7+674,118.604,5.215,unID,-11.320
FL16Y J0005.9+382,113.213,-23.665,blazar,-11.256
FL16Y J0006.1+013,100.327,-59.314,blazar,-11.709
FL16Y J0006.1-062,93.510,-66.612,blazar,-11.910
FL16Y J0006.2-562,315.301,-59.600,blazar,-11.683
FL16Y J0006.2-181,71.177,-76.309,unID,-12.032
FL16Y J0006.7-524,317.931,-63.062,blazar,-11.895
FL16Y J0006.9+461,114.966,-15.881,unID,-12.146
FL16Y J0007.0+730,119.663,10.462,psr,-9.362
FL16Y J0007.2-032,97.094,-63.996,unID,-12.135
FL16Y J0007.6+400,113.938,-21.951,blazar,-11.420
FL16Y J0008.0+471,115.321,-15.027,blazar,-10.741
FL16Y J0008.2-394,335.680,-74.538,blazar,-11.607
FL16Y J0008.3+692,119.140,6.882,unID,-11.281
FL16Y J0008.4-233,50.250,-79.700,blazar,-11.628
FL16Y J0008.4+145,107.722,-46.667,blazar,-11.356
FL16Y J0008.5+250,110.801,-36.732,unID,-11.739
FL16Y J0008.5+683,119.021,6.072,blazar,-10.685
FL16Y J0009.1+062,104.474,-54.879,blazar,-11.255
FL16Y J0009.3-141,83.474,-73.814,unID,-11.554
FL16Y J0009.4+503,116.128,-11.808,blazar,-10.665
FL16Y J0009.4+174,108.990,-43.963,unID,-11.505
FL16Y J0009.6-321,0.813,-79.566,other,-11.626
FL16Y J0009.7-431,327.814,-71.773,blazar,-11.550
FL16Y J0009.8+133,107.743,-47.976,blazar,-11.881
FL16Y J0010.0-635,310.386,-52.575,blazar,-11.763
FL16Y J0010.0+281,111.958,-33.807,unID,-11.877
FL16Y J0010.1-501,319.069,-65.604,unID,-11.632
FL16Y J0010.5-302,10.126,-80.450,blazar,-11.287
FL16Y J0010.6+204,110.259,-41.062,blazar,-11.432
FL16Y J0010.8+472,115.846,-14.888,unID,-12.072
FL16Y J0010.8-215,60.191,-79.416,blazar,-11.764
FL16Y J0011.4+483,116.135,-13.800,unID,-11.659
FL16Y J0011.5+005,102.448,-60.306,blazar,-11.082
FL16Y J0011.5-410,330.702,-73.759,blazar,-11.884
FL16Y J0011.7-314,2.508,-80.215,blazar,-11.879
FL16Y J0011.8+704,119.651,8.132,blazar,-11.190
FL16Y J0012.3-262,35.656,-81.243,unID,-12.063
FL16Y J0013.0+335,113.885,-28.286,blazar,-11.582
FL16Y J0013.0-395,332.346,-74.921,blazar,-11.330
FL16Y J0013.4+094,107.663,-51.918,blazar,-11.571
FL16Y J0013.6+405,115.255,-21.473,other,-11.730
FL16Y J0013.9-185,74.628,-78.094,blazar,-11.512
FL16Y J0013.9-042,99.850,-65.543,blazar,-11.608
FL16Y J0014.1+190,110.874,-42.843,blazar,-11.550
FL16Y J0014.2-502,317.410,-65.689,blazar,-11.598
FL16Y J0014.2+085,107.610,-52.886,blazar,-11.600
FL16Y J0014.3-045,99.508,-66.164,blazar,-11.302
FL16Y J0014.7+580,118.074,-4.491,blazar,-11.529
FL16Y J0014.8+611,118.549,-1.258,blazar,-11.127
FL16Y J0015.1+321,114.063,-30.020,blazar,-11.308
FL16Y J0015.3+353,114.731,-26.688,blazar,-11.818
FL16Y J0015.6+555,117.896,-6.655,blazar,-11.354
FL16Y J0015.9+244,112.762,-37.477,blazar,-11.556
FL16Y J0016.2-001,103.996,-61.866,blazar,-11.183
FL16Y J0017.0-460,320.436,-69.826,unID,-11.697
FL16Y J0017.0+165,111.228,-45.144,unID,-11.671
FL16Y J0017.0-065,99.462,-68.153,blazar,-11.215
FL16Y J0017.2+650,119.347,2.484,unID,-11.580
FL16Y J0017.5-051,101.233,-66.644,blazar,-10.955
FL16Y J0017.7+145,110.909,-47.221,blazar,-11.480
FL16Y J0018.5+294,114.455,-32.534,blazar,-11.458
FL16Y J0018.9+511,117.758,-11.350,unID,-11.718
FL16Y J0019.2-304,4.082,-82.099,blazar,-11.826
FL16Y J0019.3-815,304.317,-35.172,blazar,-11.213
FL16Y J0019.3-564,311.708,-59.887,blazar,-11.345
FL16Y J0019.4+260,114.034,-36.214,blazar,-11.526
FL16Y J0019.6+202,112.894,-41.901,blazar,-11.380
FL16Y J0019.6+732,120.637,10.731,blazar,-11.014
FL16Y J0020.9+032,108.202,-58.616,blazar,-11.680
FL16Y J0021.3-591,310.065,-57.413,unID,-11.878
FL16Y J0021.5-255,41.997,-83.205,blazar,-11.147
FL16Y J0021.6-222,66.634,-81.726,blazar,-11.863
FL16Y J0021.7-085,100.412,-70.551,blazar,-11.704
FL16Y J0021.7+453,117.507,-17.035,blazar,-11.772
FL16Y J0022.0-514,313.698,-64.839,blazar,-11.091
FL16Y J0022.0+000,107.223,-61.854,blazar,-11.745
FL16Y J0022.1-185,82.062,-79.379,blazar,-11.142
FL16Y J0022.4+690,120.346,6.439,other,-11.344
FL16Y J0022.5+060,110.003,-56.012,blazar,-10.677
FL16Y J0023.0+842,122.181,21.509,unID,-11.913
FL16Y J0023.3-592,309.547,-57.308,blazar,-11.393
FL16Y J0023.3+092,111.400,-52.864,msp,-11.107
FL16Y J0023.5-420,321.872,-73.932,blazar,-11.976
FL16Y J0023.6+445,117.770,-17.645,blazar,-11.135
FL16Y J0023.8+160,113.331,-46.308,blazar,-11.760
FL16Y J0024.0-720,305.905,-44.892,other,-10.561
FL16Y J0024.1-681,306.736,-48.600,blazar,-11.354
FL16Y J0024.1+240,114.985,-38.390,unID,-11.578
FL16Y J0024.2+790,121.601,16.351,unID,-11.899
FL16Y J0024.5+464,118.149,-15.855,blazar,-11.774
FL16Y J0024.6-081,103.180,-70.016,blazar,-11.847
FL16Y J0024.9+034,110.257,-58.399,blazar,-11.803
FL16Y J0025.0-232,63.945,-82.943,unID,-12.028
FL16Y J0025.2-222,69.545,-82.466,blazar,-12.094
FL16Y J0025.3+640,120.094,1.429,other,-10.981
FL16Y J0025.5-352,335.142,-80.063,blazar,-11.866
FL16Y J0025.6-483,314.307,-67.904,unID,-11.705
FL16Y J0025.8-480,314.695,-68.519,blazar,-11.707
FL16Y J0025.9-193,83.778,-80.486,unID,-12.136
FL16Y J0026.1-073,104.764,-69.516,blazar,-11.653
FL16Y J0026.2+392,117.646,-23.179,unID,-11.754
FL16Y J0026.6-460,315.924,-70.481,blazar,-11.631
FL16Y J0027.0-113,101.518,-73.447,unID,-12.111
FL16Y J0027.7-312,351.954,-83.297,unID,-12.293
FL16Y J0028.2+750,121.408,12.287,blazar,-11.635
FL16Y J0028.5+200,115.627,-42.538,blazar,-10.368
FL16Y J0028.8-704,305.624,-46.269,blazar,-11.297
FL16Y J0028.9+355,117.821,-26.784,blazar,-11.440
FL16Y J0028.9-011,110.223,-63.523,blazar,-12.097
FL16Y J0029.4+205,116.043,-41.702,blazar,-11.827
FL16Y J0030.0+055,113.263,-56.560,blazar,-11.569
FL16Y J0030.2+000,111.456,-62.377,blazar,-11.910
FL16Y J0030.2-164,96.489,-78.574,blazar,-11.604
FL16Y J0030.3-422,317.290,-74.125,blazar,-10.728
FL16Y J0030.4+045,113.125,-57.608,msp,-10.206
FL16Y J0030.6-021,110.733,-64.576,blazar,-10.731
FL16Y J0030.9-361,327.129,-79.880,unID,-12.032
FL16Y J0031.1-233,70.130,-84.172,blazar,-11.842
FL16Y J0031.3+072,114.195,-55.094,blazar,-11.758
FL16Y J0031.4-564,308.419,-60.130,unID,-11.730
FL16Y J0032.2-552,308.659,-61.553,blazar,-11.606
FL16Y J0032.3-554,308.534,-61.247,unID,-12.250
FL16Y J0032.4-472,312.062,-69.368,blazar,-12.028
FL16Y J0032.5-284,10.457,-85.524,blazar,-11.860
FL16Y J0033.3-204,89.253,-82.338,blazar,-12.103
FL16Y J0033.5-192,94.184,-81.215,blazar,-10.566
FL16Y J0034.0-411,316.008,-75.402,blazar,-11.275
FL16Y J0034.1+390,119.262,-23.715,blazar,-11.537
FL16Y J0034.3-053,111.490,-68.074,msp,-10.695
FL16Y J0034.6+643,121.130,1.828,unID,-11.258
FL16Y J0034.6-572,307.370,-59.518,blazar,-11.705
FL16Y J0035.2-173,100.594,-79.815,unID,-12.188
FL16Y J0035.2+151,117.172,-47.442,blazar,-10.953
FL16Y J0035.6-083,110.806,-71.106,blazar,-11.772
FL16Y J0035.6+613,121.056,-1.285,blazar,-11.225
FL16Y J0035.9+594,120.982,-2.980,blazar,-10.496
FL16Y J0036.5-264,38.119,-86.656,blazar,-11.949
FL16Y J0036.8+183,118.113,-44.164,blazar,-11.502
FL16Y J0036.9+143,117.667,-48.191,blazar,-11.717
FL16Y J0037.1-024,114.334,-65.358,unID,-11.911
FL16Y J0037.4+261,119.031,-36.526,blazar,-11.630
FL16Y J0037.6+365,119.870,-25.810,blazar,-11.657
FL16Y J0037.8+123,117.776,-50.095,blazar,-11.111
FL16Y J0038.1+001,115.726,-62.469,blazar,-11.337
FL16Y J0038.2-245,67.977,-86.349,blazar,-10.463
FL16Y J0038.8-014,115.641,-64.427,other,-11.377
FL16Y J0038.9-094,112.760,-72.335,blazar,-11.345
FL16Y J0039.0-221,91.960,-84.430,blazar,-11.608
FL16Y J0039.1+625,121.531,0.121,unID,-10.964
FL16Y J0039.2+433,120.586,-19.308,blazar,-11.724
FL16Y J0039.7+420,120.613,-20.757,unID,-11.785
FL16Y J0040.1-272,25.994,-87.483,unID,-11.933
FL16Y J0040.3+404,120.666,-21.995,blazar,-11.620
FL16Y J0040.3-233,86.554,-85.733,blazar,-11.742
FL16Y J0040.8-715,304.088,-45.134,unID,-12.024
FL16Y J0040.9-604,305.238,-56.311,unID,-11.840
FL16Y J0041.3+321,120.461,-30.652,blazar,-11.709
FL16Y J0041.4+380,120.775,-24.822,blazar,-11.843
FL16Y J0041.6+083,118.790,-54.228,blazar,-12.081
FL16Y J0041.6+605,121.747,-1.933,blazar,-11.102
FL16Y J0041.7-160,110.916,-78.769,blazar,-12.094
FL16Y J0041.8-470,307.738,-70.007,blazar,-11.990
FL16Y J0042.1+232,120.175,-39.473,blazar,-11.332
FL16Y J0042.1+364,120.862,-26.157,blazar,-11.811
FL16Y J0042.3+350,120.830,-27.683,unID,-12.050
FL16Y J0043.2+411,121.271,-21.645,other,-11.585
FL16Y J0043.5-044,117.774,-67.513,blazar,-11.592
FL16Y J0043.6+222,120.565,-40.438,blazar,-11.729
FL16Y J0043.7-111,116.046,-74.048,blazar,-11.712
FL16Y J0043.8+342,121.157,-28.409,blazar,-10.533
FL16Y J0044.6+455,121.706,-16.881,other,-11.661
FL16Y J0044.7+680,122.301,5.184,blazar,-11.101
FL16Y J0045.1-370,310.126,-79.931,blazar,-11.364
FL16Y J0045.3+212,121.050,-41.384,blazar,-10.799
FL16Y J0045.4-842,303.106,-32.710,blazar,-11.648
FL16Y J0045.7+121,120.746,-50.563,blazar,-10.966
FL16Y J0045.9-202,112.103,-83.119,unID,-11.814
FL16Y J0046.0-132,117.383,-76.221,unID,-11.977
FL16Y J0046.6-705,303.496,-46.158,unID,-12.005
FL16Y J0046.7+070,120.887,-55.747,unID,-11.884
FL16Y J0047.0+565,122.328,-5.906,blazar,-11.241
FL16Y J0047.2+694,122.570,6.852,other,-11.710
FL16Y J0047.5-251,97.259,-87.972,other,-11.174
FL16Y J0047.9+544,122.422,-8.057,blazar,-11.892
FL16Y J0047.9+394,122.203,-23.062,blazar,-11.192
FL16Y J0048.0+223,121.902,-40.304,blazar,-11.366
FL16Y J0048.5-634,303.470,-53.370,unID,-11.594
FL16Y J0048.6-242,109.604,-87.250,blazar,-11.698
FL16Y J0049.0+225,122.213,-39.980,blazar,-11.578
FL16Y J0049.1+422,122.482,-20.484,blazar,-11.868
FL16Y J0049.2+622,122.678,-0.408,unID,-11.555
FL16Y J0049.5-445,304.038,-72.142,blazar,-11.677
FL16Y J0049.5-415,304.300,-75.269,blazar,-11.874
FL16Y J0049.6-540,303.517,-63.087,blazar,-11.541
FL16Y J0049.7+023,122.060,-60.251,blazar,-10.765
FL16Y J0050.0-573,303.302,-59.484,blazar,-10.889
FL16Y J0050.4-045,122.253,-67.758,blazar,-11.024
FL16Y J0050.6-092,122.320,-72.360,blazar,-10.420
FL16Y J0050.7+333,122.769,-29.356,unID,-11.777
FL16Y J0050.9-342,303.786,-82.658,blazar,-12.168
FL16Y J0051.1-064,122.693,-69.699,blazar,-11.032
FL16Y J0051.2-624,302.968,-54.425,blazar,-10.695
FL16Y J0051.2-422,303.049,-74.664,blazar,-11.215
FL16Y J0052.3+644,123.031,1.887,unID,-11.335
FL16Y J0053.4-664,302.625,-50.368,blazar,-11.793
FL16Y J0054.2+862,122.979,23.613,blazar,-11.386
FL16Y J0054.7+681,123.238,5.367,blazar,-11.556
FL16Y J0054.7-245,141.918,-87.678,blazar,-11.012
FL16Y J0054.8-195,129.307,-82.795,blazar,-11.858
FL16Y J0055.2-121,126.526,-75.142,blazar,-11.134
FL16Y J0055.3-612,302.096,-55.709,unID,-11.715
FL16Y J0055.7+450,123.730,-17.758,blazar,-12.263
FL16Y J0055.9+691,123.339,6.342,unID,-11.392
FL16Y J0056.3-093,126.950,-72.442,blazar,-11.029
FL16Y J0056.5-211,134.417,-84.044,blazar,-11.056
FL16Y J0056.5-531,301.204,-63.818,blazar,-11.657
FL16Y J0056.7-445,299.836,-72.220,blazar,-11.891
FL16Y J0056.8-393,298.160,-77.431,blazar,-12.157
FL16Y J0056.8+162,124.831,-46.420,blazar,-11.836
FL16Y J0056.9+410,124.062,-21.860,blazar,-11.957
FL16Y J0057.4+221,124.753,-40.535,blazar,-11.689
FL16Y J0057.7+302,124.542,-32.443,other,-11.428
FL16Y J0057.9+632,123.661,0.571,blazar,-11.549
FL16Y J0058.0-724,302.251,-44.370,other,-10.601
FL16Y J0058.0-053,127.409,-68.480,blazar,-11.205
FL16Y J0058.0-323,288.537,-84.378,blazar,-11.010
FL16Y J0058.2-460,299.303,-70.978,unID,-11.965
FL16Y J0058.2-721,302.197,-44.883,other,-11.701
FL16Y J0058.3+172,125.279,-45.448,blazar,-12.200
FL16Y J0058.4+331,124.623,-29.606,blazar,-11.737
FL16Y J0058.5-114,129.410,-74.475,blazar,-11.806
FL16Y J0059.1-565,300.821,-60.129,unID,-10.951
FL16Y J0059.1-333,289.012,-83.287,blazar,-11.685
FL16Y J0059.2+000,127.168,-62.663,blazar,-11.635
FL16Y J0059.3-015,127.529,-64.652,blazar,-11.542
FL16Y J0059.5-351,291.343,-81.747,blazar,-11.882
FL16Y J0100.3+074,126.801,-55.050,blazar,-10.827
FL16Y J0101.0-005,128.385,-63.727,blazar,-11.751
FL16Y J0101.1-642,301.192,-52.713,msp,-10.872
FL16Y J0101.7-624,300.899,-54.418,unID,-11.938
FL16Y J0101.7-545,299.761,-62.124,blazar,-12.010
FL16Y J0101.9-192,140.970,-81.974,blazar,-12.145
FL16Y J0102.0+445,124.906,-17.848,unID,-12.223
FL16Y J0102.1+584,124.320,-4.052,blazar,-11.451
FL16Y J0102.2+163,126.671,-46.146,blazar,-11.755
FL16Y J0102.4+094,127.428,-53.039,blazar,-11.676
FL16Y J0102.4+095,127.411,-52.778,unID,-11.720
FL16Y J0102.4+421,125.113,-20.565,blazar,-11.281
FL16Y J0102.5-564,299.865,-60.331,blazar,-11.663
FL16Y J0102.6-801,302.340,-36.832,blazar,-11.694
FL16Y J0102.8+582,124.426,-4.434,blazar,-10.403
FL16Y J0102.8-200,143.754,-82.435,blazar,-12.176
FL16Y J0102.8+483,124.882,-14.164,msp,-10.810
FL16Y J0103.0+495,124.850,-12.888,blazar,-11.462
FL16Y J0103.5+152,127.226,-47.331,blazar,-11.596
FL16Y J0103.5+533,124.755,-9.208,blazar,-11.100
FL16Y J0103.6-704,301.480,-46.270,other,-11.834
FL16Y J0103.9+132,127.597,-49.406,blazar,-11.871
FL16Y J0103.9+351,125.817,-27.552,blazar,-12.119
FL16Y J0104.7-221,155.482,-84.276,unID,-12.202
FL16Y J0104.7-241,170.200,-85.855,blazar,-11.301
FL16Y J0105.2+392,125.835,-23.315,blazar,-11.123
FL16Y J0105.9+340,126.348,-28.732,blazar,-11.746
FL16Y J0105.9+191,127.663,-43.554,blazar,-11.953
FL16Y J0106.1+113,128.701,-51.168,unID,-11.776
FL16Y J0106.4+485,125.472,-13.865,psr,-10.715
FL16Y J0106.9-483,295.953,-68.409,blazar,-11.978
FL16Y J0107.2-121,137.649,-74.586,blazar,-11.736
FL16Y J0107.3+045,130.344,-57.669,unID,-12.041
FL16Y J0107.4+033,130.705,-59.054,blazar,-11.721
FL16Y J0107.5+494,125.604,-12.955,blazar,-11.680
FL16Y J0108.2-003,132.299,-63.219,blazar,-11.470
FL16Y J0108.6+013,131.826,-60.989,blazar,-9.763
FL16Y J0108.8-123,139.489,-74.976,unID,-11.846
FL16Y J0109.1+181,128.835,-44.413,blazar,-11.221
FL16Y J0109.2+240,128.140,-38.687,blazar,-11.669
FL16Y J0109.6+613,125.098,-1.240,blazar,-10.525
FL16Y J0109.8-524,296.539,-64.096,unID,-12.012
FL16Y J0110.0-402,287.888,-76.247,blazar,-11.672
FL16Y J0110.1+415,126.662,-20.876,blazar,-12.021
FL16Y J0110.2+680,124.691,5.288,blazar,-10.638
FL16Y J0110.3-042,135.015,-66.881,unID,-11.874
FL16Y J0110.5+041,132.043,-58.288,unID,-12.027
FL16Y J0110.7-125,141.551,-75.079,blazar,-11.606
FL16Y J0110.8+434,126.643,-18.984,blazar,-11.678
FL16Y J0111.3-730,300.920,-43.976,blazar,-11.903
FL16Y J0111.3+053,132.059,-56.935,blazar,-11.931
FL16Y J0111.4+344,127.599,-27.990,unID,-11.820
FL16Y J0112.1+224,129.152,-39.873,blazar,-10.091
FL16Y J0112.1-032,135.627,-65.771,blazar,-11.557
FL16Y J0112.2-663,299.692,-50.393,blazar,-11.348
FL16Y J0112.3+025,133.296,-59.534,blazar,-12.069
FL16Y J0112.5-750,301.114,-41.942,blazar,-11.365
FL16Y J0112.6-315,260.696,-83.306,blazar,-12.175
FL16Y J0112.7-025,135.752,-65.250,other,-11.997
FL16Y J0112.8-253,195.851,-84.959,unID,-11.836
FL16Y J0112.8+320,128.202,-30.509,blazar,-10.260
FL16Y J0112.9-065,138.127,-69.187,unID,-11.621
FL16Y J0113.2-355,276.370,-80.106,blazar,-11.354
FL16Y J0113.5+494,126.583,-12.900,blazar,-10.906
FL16Y J0113.6+022,134.092,-60.000,blazar,-11.422
FL16Y J0113.9+641,125.370,1.531,blazar,-11.484
FL16Y J0114.1+122,131.575,-50.069,blazar,-11.913
FL16Y J0114.9+132,131.660,-49.040,blazar,-10.967
FL16Y J0114.9-335,268.006,-81.468,blazar,-11.800
FL16Y J0115.0+262,129.496,-36.215,blazar,-11.860
FL16Y J0115.2-012,136.484,-63.715,blazar,-11.264
FL16Y J0115.4-291,236.492,-84.286,unID,-11.985
FL16Y J0115.6+035,134.529,-58.382,blazar,-10.896
FL16Y J0115.6-565,296.315,-59.936,blazar,-12.247
FL16Y J0115.8+252,129.849,-37.211,blazar,-10.764
FL16Y J0115.9-274,220.913,-84.521,blazar,-11.654
FL16Y J0115.9-304,248.704,-83.502,blazar,-11.630
FL16Y J0116.0-113,144.536,-73.434,blazar,-11.027
FL16Y J0116.2+691,125.137,6.507,blazar,-11.289
FL16Y J0116.2-615,297.843,-54.990,blazar,-11.642
FL16Y J0116.5-281,225.553,-84.340,blazar,-11.802
FL16Y J0116.7-763,301.009,-40.417,unID,-11.918
FL16Y J0117.4+142,132.392,-48.047,blazar,-11.483
FL16Y J0117.7-244,192.041,-83.605,blazar,-12.216
FL16Y J0117.7-211,169.683,-81.555,blazar,-11.056
FL16Y J0118.0-155,152.978,-77.161,blazar,-12.063
FL16Y J0118.4-600,296.808,-56.673,blazar,-11.529
FL16Y J0118.7-085,143.670,-70.618,blazar,-11.451
FL16Y J0118.9-214,173.380,-81.715,blazar,-10.632
FL16Y J0119.0-145,152.161,-76.267,blazar,-11.382
FL16Y J0119.7-535,293.860,-62.656,blazar,-11.570
FL16Y J0119.7-794,301.350,-37.302,unID,-12.035
FL16Y J0119.8+420,128.561,-20.547,blazar,-11.831
FL16Y J0120.4-270,213.683,-83.534,blazar,-10.471
FL16Y J0121.3+790,124.402,16.321,unID,-11.962
FL16Y J0121.3-721,299.736,-44.656,unID,-12.171
FL16Y J0121.7+515,127.674,-10.668,blazar,-11.881
FL16Y J0121.8-391,277.256,-76.312,blazar,-11.574
FL16Y J0121.9+365,129.687,-25.518,blazar,-11.896
FL16Y J0122.0-300,238.467,-82.654,blazar,-12.193
FL16Y J0122.4+103,135.255,-51.559,unID,-11.972
FL16Y J0122.5-151,155.750,-76.047,unID,-12.197
FL16Y J0123.1+342,130.342,-28.060,blazar,-11.509
FL16Y J0123.4-370,270.669,-77.993,unID,-12.053
FL16Y J0123.5+303,131.051,-31.748,unID,-11.476
FL16Y J0123.7-231,186.308,-81.703,blazar,-11.222
FL16Y J0123.7+421,129.310,-20.302,blazar,-11.959
FL16Y J0123.8-413,280.186,-74.143,unID,-12.058
FL16Y J0124.8-062,145.436,-67.808,blazar,-11.621
FL16Y J0125.0+675,126.086,5.322,unID,-11.266
FL16Y J0125.2-511,290.327,-65.077,blazar,-11.821
FL16Y J0125.3-254,204.979,-82.302,blazar,-11.252
FL16Y J0125.4-000,141.134,-61.731,blazar,-11.469
FL16Y J0125.8+260,132.510,-36.128,blazar,-11.727
FL16Y J0125.9-674,297.973,-49.026,blazar,-12.042
FL16Y J0125.9-634,296.645,-52.876,unID,-11.994
FL16Y J0125.9-630,296.361,-53.611,unID,-11.991
FL16Y J0126.0-222,183.712,-80.819,blazar,-11.495
FL16Y J0126.6-155,160.933,-76.166,unID,-11.849
FL16Y J0126.7+241,133.146,-37.944,unID,-11.582
FL16Y J0127.0+330,131.465,-29.137,blazar,-11.826
FL16Y J0127.1-442,282.803,-71.224,unID,-12.127
FL16Y J0127.2-082,148.873,-69.401,blazar,-11.205
FL16Y J0127.2+032,140.116,-58.266,blazar,-11.406
FL16Y J0127.3-481,286.983,-67.762,blazar,-11.652
FL16Y J0127.7+314,131.888,-30.532,unID,-11.722
FL16Y J0127.9+173,135.140,-44.381,unID,-11.793
FL16Y J0127.9+485,129.085,-13.477,blazar,-11.522
FL16Y J0128.1+261,133.094,-35.898,unID,-11.515
FL16Y J0128.1-172,165.854,-77.079,blazar,-11.777
FL16Y J0128.4-462,284.599,-69.375,unID,-11.985
FL16Y J0128.5+444,129.844,-17.692,blazar,-11.700
FL16Y J0129.7+343,131.811,-27.584,blazar,-11.771
FL16Y J0129.8+144,136.645,-47.083,blazar,-11.200
FL16Y J0130.1+632,127.255,0.824,other,-10.984
FL16Y J0130.5-213,182.713,-79.477,blazar,-11.648
FL16Y J0130.5+184,135.680,-43.171,blazar,-11.807
FL16Y J0131.1+612,127.680,-1.163,blazar,-10.835
FL16Y J0131.3+554,128.565,-6.661,blazar,-11.248
FL16Y J0131.6-534,290.096,-62.329,unID,-11.801
FL16Y J0132.3-094,153.981,-70.143,blazar,-11.455
FL16Y J0132.4-360,261.098,-77.533,unID,-12.021
FL16Y J0132.7-165,168.105,-76.017,blazar,-10.676
FL16Y J0132.7-080,152.026,-68.587,blazar,-11.827
FL16Y J0132.9-441,279.640,-70.970,blazar,-11.481
FL16Y J0132.9+593,128.179,-2.937,blazar,-11.316
FL16Y J0133.1-520,288.270,-63.916,blazar,-10.533
FL16Y J0133.1+432,130.916,-18.844,blazar,-11.567
FL16Y J0133.1-453,281.400,-69.789,blazar,-12.223
FL16Y J0133.7-341,253.317,-78.501,unID,-12.106
FL16Y J0133.8-425,277.063,-71.997,blazar,-11.665
FL16Y J0133.9-552,290.626,-60.649,blazar,-11.944
FL16Y J0134.4-384,267.847,-75.323,blazar,-11.426
FL16Y J0134.5+263,134.728,-35.244,blazar,-11.055
FL16Y J0135.0+533,129.451,-8.674,blazar,-11.729
FL16Y J0135.1+025,143.957,-58.161,blazar,-11.991
FL16Y J0135.2+691,126.808,6.768,blazar,-11.418
FL16Y J0135.4-272,217.438,-80.227,blazar,-12.049
FL16Y J0136.2-470,282.145,-68.154,unID,-12.154
FL16Y J0136.5+390,132.423,-22.936,blazar,-10.268
FL16Y J0136.5+312,134.099,-30.449,blazar,-11.759
FL16Y J0136.7+203,137.055,-41.091,blazar,-11.780
FL16Y J0137.0+475,130.795,-14.314,blazar,-10.501
FL16Y J0137.3-324,244.861,-78.612,unID,-11.908
FL16Y J0137.4+084,141.771,-52.378,blazar,-11.755
FL16Y J0137.5-063,153.061,-66.682,unID,-12.039
FL16Y J0137.6-243,201.361,-79.291,blazar,-11.022
FL16Y J0137.9+581,129.040,-4.079,blazar,-10.775
FL16Y J0138.0+224,136.755,-38.825,blazar,-11.379
FL16Y J0138.2+754,125.879,13.118,unID,-11.700
FL16Y J0138.5+393,132.734,-22.457,unID,-11.652
FL16Y J0138.5+682,127.275,5.876,other,-11.348
FL16Y J0138.5+292,135.091,-32.369,blazar,-11.580
FL16Y J0138.6-461,279.944,-68.745,blazar,-11.444
FL16Y J0139.0+260,136.124,-35.617,blazar,-11.557
FL16Y J0139.2-170,173.153,-75.067,unID,-11.873
FL16Y J0139.4-222,192.436,-78.154,unID,-11.728
FL16Y J0140.1+361,133.827,-25.665,unID,-12.312
FL16Y J0140.2+511,130.673,-10.888,unID,-11.832
FL16Y J0140.3+705,126.945,8.420,unID,-11.869
FL16Y J0140.4+025,146.281,-57.666,blazar,-11.846
FL16Y J0140.6-473,280.904,-67.458,unID,-11.801
FL16Y J0140.7-075,156.582,-67.573,blazar,-11.838
FL16Y J0140.8+873,123.496,24.788,blazar,-11.696
FL16Y J0141.4-092,159.053,-68.775,blazar,-10.392
FL16Y J0142.5-054,154.858,-65.387,blazar,-11.856
FL16Y J0142.8+595,129.332,-2.260,unID,-11.368
